State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Agricultural_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Television,ST,SC,Rural_Households,Urban_Households,sex_ratio,Literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,484912,194954,566108,306433,495794,488596,597466,220248,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,879537,223016,897970,559461,154127,583135,902997,341431,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,748093,324406,944555,611465,159165,785760,907970,395900,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1122046,479914,1297273,821421,213195,945269,1199479,406362,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1227956,648568,1186028,816849,247089,957407,1069877,513113,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,23029,581509,869721,746818,48937,247927,0,1066289,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,756859,344667,926768,589283,106745,709757,877236,288044,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,804537,219710,668519,416734,765565,462896,669262,201363,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,1006976,632890,1163932,794346,132464,871063,909292,567042,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,1037302,195001,816721,543044,82831,737945,783853,306982,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,931084,136843,757821,362791,364269,708954,848963,161052,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,571129,163074,604719,349304,168985,537947,593653,195479,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,863131,228818,789225,464172,394279,637385,833504,197433,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,448281,186740,545913,308270,192941,371074,565165,155133,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,889218,290947,763746,468022,151145,787861,873486,214089,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,700833,149554,615432,297418,166118,255664,752752,149684,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,557254,140361,527736,278230,235556,247728,592458,157056,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,758092,237349,828077,462819,530656,616102,758738,288249,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1061787,435334,1017568,648607,109072,811698,1007255,248373,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,4208,4762,14593,9314,53878,0,33422,6498,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,1063,3583,5318,3169,72400,0,14503,5215,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,3565,4866,14231,9363,69979,0,19497,9524,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,2947,586,3911,1320,90764,0,18603,1092,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,7789,6549,17157,12215,47410,0,33599,11372,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,3354,3068,5932,4345,25974,0,12000,3950,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,1968,4211,12493,7285,72911,0,18112,5365,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,1859,22966,30539,23203,117216,0,20308,30180,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,1581,3794,8635,4824,34811,0,10730,2452,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,1811,3104,16026,6118,98372,0,18420,6500,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,804,1504,6198,2823,28468,0,8569,2182,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,1846,3123,5373,3580,78323,0,14542,4672,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,1705,7133,14188,8634,46380,0,17889,6306,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,1384,6115,14204,9593,92783,0,22272,8503,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,98946,50806,84804,55319,27344,95320,447189,52192,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,47406,29937,49866,36350,18835,82784,181923,38470,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,68664,62135,140205,99887,17569,264897,346227,88933,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,81617,17676,45444,30616,8419,40260,268517,20189,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,19181,16547,28195,25776,325560,44225,211758,16504,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,61209,76292,136685,121737,102871,58876,299852,77163,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,75828,21455,78641,42628,231570,45094,228610,39504,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,66616,40889,82345,70930,111765,62298,292893,34190,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,31248,11035,44143,19998,691,70659,159215,16202,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,53153,71639,122063,92598,139971,88665,286330,80824,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,99522,70272,122191,90941,182038,107827,390596,43849,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,60952,18763,53918,56689,538738,44961,215691,37185,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,67033,28261,70951,38570,1940,157890,261945,32695,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,56330,15089,41373,32320,278665,29570,204896,17115,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,43922,32104,60296,45689,249426,81840,293239,34694,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,196174,89206,195631,127523,115153,266350,674999,124186,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,34984,37849,68313,45938,23364,60216,210706,28238,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,114865,70047,133368,106909,232207,109130,483325,64528,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,47756,70471,161718,111738,82066,37688,290704,90910,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,691947,17004,43290,40387,38848,382654,659061,44213,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,426096,24106,44456,45871,1033,612064,428291,49006,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,396630,246324,589477,403594,143366,539368,551789,427343,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,426096,24106,44456,45871,1033,612064,428291,49006,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,396630,246324,589477,403594,143366,539368,551789,427343,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,462614,15459,62359,32859,90432,247858,425604,18492,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,430870,49493,120373,76761,1597,432270,594377,139248,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,475228,63241,174534,117040,67180,318569,522527,130634,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,364875,45763,62153,87879,13977,425402,434559,77368,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,251790,27362,46760,48405,26824,251737,299252,35405,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,642115,59510,127442,80085,2772,615688,907174,95539,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,783505,57738,112617,107970,3098,1334351,696289,111282,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,338666,31193,69375,61380,60807,320064,515925,38133,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,331466,12984,32633,27056,78793,302649,325909,30851,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,179519,15507,27641,32086,1285,222974,186660,28132,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,672291,32570,60900,60110,179971,263100,668232,69838,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,325731,15401,40641,31220,675,247161,373696,21007,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,321867,11715,58718,28736,64224,113118,401793,43357,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,159970,12938,44491,31048,8333,153209,175882,31763,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,484062,12302,23236,23209,12532,346275,486278,24000,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,940642,47090,113281,73851,3990,587158,1047552,41234,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,196449,49141,90461,69973,21404,183846,222281,85782,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,769001,87796,180651,172027,5979,751975,998694,120700,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,534021,43761,101378,87070,1442,607672,514141,102522,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,397505,20522,31162,34020,2045,565112,379551,45323,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,998833,38414,57546,69056,250046,553944,839514,96620,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,658203,321307,546859,453344,9069,920918,657991,552103,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,1057417,52358,74979,96546,12461,649726,1142260,101565,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,745015,33688,86058,63200,139490,390991,712847,85749,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,405544,41659,114893,106218,31650,549546,512383,95678,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,356833,21651,41342,30518,6009,317249,432651,38046,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,721629,46123,88021,84248,1884,803128,1012979,43486,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,493461,51822,94787,128169,36786,474066,701323,76299,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,109696,6803,20065,16279,617,131115,108293,24345,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,136334,3983,10004,11722,318,96655,158484,7516,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,635907,39465,66263,61089,2989,405714,807294,49670,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,376344,42384,52935,74071,87000,386685,632514,41858,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,554271,12111,51028,26559,10168,354249,572287,27815,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,502637,47300,70001,101269,2274,738031,699317,51494,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,1687,168344,231204,193932,0,199086,8911,289456,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,287828,22075,157646,50155,931780,37963,316425,54894,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,4138,17262,79146,61392,10693,98989,152458,11987,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,572292,77727,519704,193337,498469,552992,549632,188174,97.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,4138,17262,79146,61392,10693,98989,152458,11987,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,572292,77727,519704,193337,498469,552992,549632,188174,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,182602,14568,148926,67737,207633,58581,168689,41792,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,560415,129193,614109,343369,397416,458040,533448,349741,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,197558,6628,76783,20512,530378,48844,205670,20722,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,221806,43357,202380,95963,493559,124679,206598,126055,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,94648,25605,80023,38765,304280,54776,121852,59763,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,278073,13200,212487,68012,279896,139581,274793,35774,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,323788,27771,297308,98784,505609,224942,354278,66638,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,191182,328277,547206,374021,305125,134952,581868,377160,96.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,323788,27771,297308,98784,505609,224942,354278,66638,99.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,191182,328277,547206,374021,305125,134952,581868,377160,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,708993,166505,728556,378113,476446,724250,673499,395001,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,523356,29433,253131,74614,1300628,115652,525596,65167,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,481,25844,49249,28433,15240,4262,10006,61073,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,333996,144561,498326,318954,55571,265793,489237,287506,95.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,333996,144561,498326,318954,55571,265793,489237,287506,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,14120,132612,173951,146307,56606,17606,115859,209230,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,12640,102191,138810,115535,92669,7843,88620,162873,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,268954,965017,1456046,1159650,89138,759483,353169,1845383,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,209935,80378,273331,164282,7322,132915,313714,116899,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,346329,147122,378310,203467,24824,104465,413078,208909,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,350541,84832,396873,144792,284155,327460,666773,137424,94.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,253577,121542,309091,178535,488194,62235,300677,181319,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,334025,171327,500757,293361,9110,157034,387251,356826,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,129356,132683,262539,178594,18204,108608,237624,195634,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,147193,142974,386538,270555,24187,173895,347158,299167,94.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,183971,140067,403294,250397,24228,258859,488293,250982,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,359842,99982,372226,171342,40336,115631,461479,160547,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,242969,180985,385609,245131,9392,162288,476005,183738,93.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,188030,12997,101940,31194,481392,8733,138121,22248,96.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,206608,114620,267679,153431,639659,35464,267739,141417,96.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,376038,59096,398937,90896,721604,100446,463363,104238,95.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,227080,66310,223424,108006,13303,123408,301483,102655,94.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,48964,41686,117040,80820,13039,51830,96015,87557,95.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,214285,362140,747352,571843,24017,290169,459474,721532,93.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,333867,99037,438606,180909,542156,187685,544024,121509,95.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,325739,815423,1252452,788447,856952,158115,369840,1529998,79.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,270861,77857,302068,177591,21453,179461,340788,159810,93.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,40486,2029,29794,9262,216073,992,52102,7516,101.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,570361,411734,798277,497049,1149901,221629,547454,692971,93.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,183025,137209,329218,188248,902794,38237,262410,235981,92.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,57293,121622,199681,172034,0,296246,175365,139891,88.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,103788,88938,266244,176336,0,341162,357047,99235,89.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,29288,258422,333171,279652,0,223799,87700,382981,87.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,97997,51693,153301,107042,0,284357,203020,55360,90.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,27097,238359,305751,248024,0,197937,141703,381988,85.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,144213,110495,285004,202588,0,408785,302013,154113,87.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,44845,70149,168558,128007,0,170448,211816,78328,86.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,102071,78386,222462,160742,0,282351,278335,89665,87.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,85651,62668,187349,140195,0,247513,231091,75696,88.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,133723,143133,267223,215813,0,339604,292682,135920,89.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,85890,90150,171908,143316,0,215128,203553,88268,89.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,38320,45359,135455,88012,0,156314,223726,44216,89.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,12827,69687,103455,88378,0,101830,70895,93656,87.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,62358,121846,209965,162321,0,206213,173502,153804,86.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,28215,62667,152651,108753,0,182606,199449,69305,90.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,36568,94633,193120,150160,0,216889,175203,131739,87.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,147042,70538,215527,150315,0,387381,245476,93316,90.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,9193,21458,96082,62233,135500,111690,186395,13836,99.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,8824,34978,104120,86324,3044,109256,196116,15232,110.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,181449,20175,55929,48564,474,241198,256081,55300,86.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,2521,8824,34978,104120,86324,3044,109256,196116,15232,110.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,1196,181449,20175,55929,48564,474,241198,256081,55300,86.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,54849,148361,330081,272579,84564,319385,588321,39007,101.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,2537,10740,17865,12925,48746,14750,44514,0,82.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,12372,40064,91322,66910,16822,122659,167995,20709,94.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,15822,59324,214491,157314,12787,293739,431129,31696,101.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,26114,108888,172754,131450,8755,215777,279269,95896,92.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,10730,28904,91509,58902,11262,160745,171102,21054,92.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,10283,53722,119866,94692,25645,164536,192787,51509,88.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,19604,43809,105929,88894,8601,115491,185091,20126,98.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,12199,7963,61831,19244,39216,53408,122267,11350,92.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,36873,197168,294739,240478,69193,377991,254566,248043,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,3763,3285,15824,8008,122336,18,40370,7774,81.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,21566,32772,109422,66944,53307,141224,181374,33473,89.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,34080,16828,73629,45967,22607,402,147520,21703,91.0,52.0
